"year","continent","average_gdp_per_capita"
2004,"Africa","1496.55"
2004,"Asia","7991.82"
2004,"Europe","24075.68"
2004,"North America","12576.25"
2004,"Oceania","6502.65"
2004,"South America","3051.49"
2005,"Africa","1742.10"
2005,"Asia","9035.42"
2005,"Europe","25627.63"
2005,"North America","13573.94"
2005,"Oceania","7113.58"
2005,"South America","3683.69"
2006,"Africa","1954.57"
2006,"Asia","10100.17"
2006,"Europe","27744.24"
2006,"North America","14645.17"
2006,"Oceania","7281.14"
2006,"South America","4475.37"
2007,"Africa","2264.17"
2007,"Asia","11215.01"
2007,"Europe","32625.37"
2007,"North America","15947.82"
2007,"Oceania","8246.18"
2007,"South America","5267.49"
2008,"Africa","2620.47"
2008,"Asia","12837.93"
2008,"Europe","34604.66"
2008,"North America","16388.99"
2008,"Oceania","8980.15"
2008,"South America","6333.30"
2009,"Africa","2184.63"
2009,"Asia","10973.50"
2009,"Europe","28372.86"
2009,"North America","15034.22"
2009,"Oceania","7981.89"
2009,"South America","6235.79"
2010,"Africa","2263.52"
2010,"Asia","12451.67"
2010,"Europe","24993.46"
2010,"North America","14616.37"
2010,"Oceania","9304.49"
2010,"South America","7514.28"
2011,"Africa","2627.31"
2011,"Asia","14562.50"
2011,"Europe","27619.23"
2011,"North America","15058.19"
2011,"Oceania","10744.31"
2011,"South America","8213.24"
2012,"Africa","2604.36"
2012,"Asia","15205.34"
2012,"Europe","23191.24"
2012,"North America","13909.47"
2012,"Oceania","11482.50"
2012,"South America","8759.51"
