"year","continent","median_gdp_per_capita"
2004,"Africa","578.6416500000000000"
2004,"Asia","1455.9360500000000000"
2004,"Europe","16944.1895300000000000"
2004,"North America","5250.5529200000000000"
2004,"Oceania","2247.8377700000000000"
2004,"South America","2880.4196200000000000"
2005,"Africa","666.5531900000000000"
2005,"Asia","1731.1252400000000000"
2005,"Europe","17854.6353300000000000"
2005,"North America","5492.8649100000000000"
2005,"Oceania","2352.6393400000000000"
2005,"South America","3491.7327250000000000"
2006,"Africa","794.9830100000000000"
2006,"Asia","2472.9974800000000000"
2006,"Europe","19177.4259000000000000"
2006,"North America","6072.2975700000000000"
2006,"Oceania","2502.2112600000000000"
2006,"South America","4455.5278300000000000"
2007,"Africa","915.4017100000000000"
2007,"Asia","3091.0153300000000000"
2007,"Europe","21980.685300000000"
2007,"North America","6655.3883300000000000"
2007,"Oceania","2768.4346600000000000"
2007,"South America","5208.3605450000000000"
2008,"Africa","1092.0875900000000000"
2008,"Asia","4472.0551800000000000"
2008,"Europe","23860.681050000000"
2008,"North America","6801.6533600000000000"
2008,"Oceania","3094.6843300000000000"
2008,"South America","6130.1417900000000000"
2009,"Africa","930.6135750000000000"
2009,"Asia","4059.9739800000000000"
2009,"Europe","22153.095430000000"
2009,"North America","6778.6603500000000000"
2009,"Oceania","2763.1844200000000000"
2009,"South America","6283.4892900000000000"
2010,"Africa","1053.8926750000000000"
2010,"Asia","4802.6627600000000000"
2010,"Europe","21653.001420000000"
2010,"North America","7485.9052100000000000"
2010,"Oceania","3112.8404700000000000"
2010,"South America","7250.0234400000000000"
2011,"Africa","1179.3820750000000000"
2011,"Asia","6019.4208800000000000"
2011,"Europe","22532.507720000000"
2011,"North America","8372.5772600000000000"
2011,"Oceania","3361.9616700000000000"
2011,"South America","7692.5333100000000000"
2012,"Africa","1070.6974500000000000"
2012,"Asia","6625.2232200000000000"
2012,"Europe","20838.883590000000"
2012,"North America","9748.8686900000000000"
2012,"Oceania","3619.6899000000000000"
2012,"South America","8562.1683500000000000"
